## DSID    events    xsec[pb]*kfac*filter        lumi[fb-1]         name
---------  --------  --------------------------  -----------------  ------------------------------------------------------------------------------
##         ##        ====================        ##                 ##
##         ##        Diboson_DC14_MC15sim        ##                 ##
303077     50000     4.8259e-09*1.0*1.0          10360761723.2      mc15_13TeV.303077.Sherpa_CT10_VV_qqmumu_5000M
303488     249000    1.8271*1.0*1.0              136.28             mc15_13TeV.303488.Sherpa_CT10_VV_evmuv_0M150
303489     150000    0.45444*1.0*1.0             330.08             mc15_13TeV.303489.Sherpa_CT10_VV_evmuv_150M500
303490     150000    0.015762*1.0*1.0            9516.56            mc15_13TeV.303490.Sherpa_CT10_VV_evmuv_500M1000
303491     150000    0.0010725*1.0*1.0           139860.14          mc15_13TeV.303491.Sherpa_CT10_VV_evmuv_1000M2000
303492     150000    2.7134e-05*1.0*1.0          5528119.7          mc15_13TeV.303492.Sherpa_CT10_VV_evmuv_2000M3000
303493     150000    1.3573e-06*1.0*1.0          110513519.49       mc15_13TeV.303493.Sherpa_CT10_VV_evmuv_3000M4000
303494     150000    8.3335e-08*1.0*1.0          1799964000.72      mc15_13TeV.303494.Sherpa_CT10_VV_evmuv_4000M5000
303752     400000    0.56107*1.0*1.0             712.92             mc15_13TeV.303752.Sherpa_CT10_VV_evll_50MT150
303753     100000    0.021402*1.0*1.0            4672.46            mc15_13TeV.303753.Sherpa_CT10_VV_evll_150MT500
303754     100000    0.00034162*1.0*1.0          292722.91          mc15_13TeV.303754.Sherpa_CT10_VV_evll_500MT1000
303755     100000    1.7599e-05*1.0*1.0          5682141.03         mc15_13TeV.303755.Sherpa_CT10_VV_evll_1000MT2000
303756     100000    3.8599e-07*1.0*1.0          259074069.28       mc15_13TeV.303756.Sherpa_CT10_VV_evll_2000MT3000
303757     100000    1.9136e-08*1.0*1.0          5225752508.36      mc15_13TeV.303757.Sherpa_CT10_VV_evll_3000MT4000
303758     100000    1.1847e-09*1.0*1.0          84409555161.6      mc15_13TeV.303758.Sherpa_CT10_VV_evll_4000MT5000
303759     100000    8.0707e-11*1.0*1.0          1.23904989654e+12  mc15_13TeV.303759.Sherpa_CT10_VV_evll_5000MT
303760     200000    3.8126*1.0*1.0              52.46              mc15_13TeV.303760.Sherpa_CT10_VV_evlv_50MT150
303761     50000     0.31817*1.0*1.0             157.15             mc15_13TeV.303761.Sherpa_CT10_VV_evlv_150MT500
303762     50000     0.0037562*1.0*1.0           13311.33           mc15_13TeV.303762.Sherpa_CT10_VV_evlv_500MT1000
303763     50000     0.00017865*1.0*1.0          279876.85          mc15_13TeV.303763.Sherpa_CT10_VV_evlv_1000MT2000
303764     50000     3.834e-06*1.0*1.0           13041210.22        mc15_13TeV.303764.Sherpa_CT10_VV_evlv_2000MT3000
303765     50000     2.0437e-07*1.0*1.0          244654303.47       mc15_13TeV.303765.Sherpa_CT10_VV_evlv_3000MT4000
303766     50000     1.4879e-08*1.0*1.0          3360440889.84      mc15_13TeV.303766.Sherpa_CT10_VV_evlv_4000MT5000
303767     50000     1.2693e-09*1.0*1.0          39391790750.8      mc15_13TeV.303767.Sherpa_CT10_VV_evlv_5000MT
303768     300000    21.379*1.0*1.0              14.03              mc15_13TeV.303768.Sherpa_CT10_VV_evqq_50MT150
303769     50000     0.047907*1.0*1.0            1043.69            mc15_13TeV.303769.Sherpa_CT10_VV_evqq_150MT500
303770     50000     0.0015307*1.0*1.0           32664.79           mc15_13TeV.303770.Sherpa_CT10_VV_evqq_500MT1000
303771     50000     0.0001423*1.0*1.0           351370.34          mc15_13TeV.303771.Sherpa_CT10_VV_evqq_1000MT2000
303772     50000     4.9475e-06*1.0*1.0          10106114.2         mc15_13TeV.303772.Sherpa_CT10_VV_evqq_2000MT3000
303773     50000     3.1641e-07*1.0*1.0          158022818.49       mc15_13TeV.303773.Sherpa_CT10_VV_evqq_3000MT4000
303774     50000     2.4175e-08*1.0*1.0          2068252326.78      mc15_13TeV.303774.Sherpa_CT10_VV_evqq_4000MT5000
303775     50000     2.0153e-09*1.0*1.0          24810201955.0      mc15_13TeV.303775.Sherpa_CT10_VV_evqq_5000MT
303776     200000    0.56764*1.0*1.0             352.34             mc15_13TeV.303776.Sherpa_CT10_VV_evvv_50MT150
303777     50000     0.09795*1.0*1.0             510.46             mc15_13TeV.303777.Sherpa_CT10_VV_evvv_150MT500
303780     50000     1.3804e-06*1.0*1.0          36221385.11        mc15_13TeV.303780.Sherpa_CT10_VV_evvv_2000MT3000
