
# DSID  events  xsec[pb]*kfac*filter    lumi            name
# ------------------------------------------------------------
301050 	50000 	0.00010387*1.0*1.0 	481370.94 	mc15_13TeV.301050.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2000M2250.merge.AOD.e3649_s2576_s2132_r6869_r6282
301051 	50000 	4.94e-05*1.0*1.0 	1012145.75 	mc15_13TeV.301051.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2250M2500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301052 	50000 	2.4452e-05*1.0*1.0 	2044822.51 	mc15_13TeV.301052.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2500M2750.merge.AOD.e3649_s2576_s2132_r6869_r6282
301053 	50000 	1.2487e-05*1.0*1.0 	4004164.33 	mc15_13TeV.301053.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_2750M3000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301054 	49600 	1.0029e-05*1.0*1.0 	4945657.59 	mc15_13TeV.301054.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3000M3500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301055 	50000 	2.9342e-06*1.0*1.0 	17040419.88 	mc15_13TeV.301055.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_3500M4000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301056 	50000 	8.9764e-07*1.0*1.0 	55701617.57 	mc15_13TeV.301056.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4000M4500.merge.AOD.e3649_s2576_s2132_r6869_r6282
301057 	50000 	2.8071e-07*1.0*1.0 	178119767.73 	mc15_13TeV.301057.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_4500M5000.merge.AOD.e3649_s2576_s2132_r6869_r6282
301058 	50000 	1.2649e-07*1.0*1.0 	395288165.07 	mc15_13TeV.301058.PowhegPythia8EvtGen_AZNLOCTEQ6L1_DYtautau_5000M.merge.AOD.e3649_s2576_s2132_r6869_r6282

301060 	498800 	32.053*1.0*1.0 		15.56 		mc15_13TeV.301060.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_120M180.merge.AOD.e3663_s2608_s2183_r6869_r6282
301061 	249600 	5.0029*1.0*1.0 		49.89 		mc15_13TeV.301061.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_180M250.merge.AOD.e3663_s2608_s2183_r6869_r6282
301062 	139600 	1.7543*1.0*1.0 		79.58 		mc15_13TeV.301062.PowhegPythia8EvtGen_AZNLOCTEQ6L1_Wplusenu_250M400.merge.AOD.e3663_s2608_s2183_r6869_r6282
